t,x,y,z,vx,vy,vz,Fz,phase
0.000000,0.497722,-0.205701,0.061069,-0.000343,0.000297,-0.000687,-8.696085,MOVE_JOINT
0.001000,0.497723,-0.205702,0.061070,-0.000370,0.000066,-0.000245,-8.630653,MOVE_JOINT
0.002000,0.497722,-0.205698,0.061068,-0.000868,0.001317,-0.001263,-8.578308,MOVE_JOINT
0.003000,0.497723,-0.205701,0.061069,-0.000869,-0.000040,-0.001041,-8.536432,MOVE_JOINT
0.004000,0.497718,-0.205704,0.061069,-0.002004,-0.000666,-0.000986,-8.520281,MOVE_JOINT
0.005000,0.497706,-0.205701,0.061059,-0.004365,-0.000442,-0.002665,-8.507365,MOVE_JOINT
0.006000,0.497702,-0.205705,0.061055,-0.003216,-0.001097,-0.002316,-8.555633,MOVE_JOINT
0.007000,0.497691,-0.205703,0.061043,-0.004116,0.000041,-0.004473,-8.594251,MOVE_JOINT
0.008000,0.497686,-0.205704,0.061036,-0.003821,-0.000218,-0.004229,-8.625149,MOVE_JOINT
0.009000,0.497675,-0.205706,0.061028,-0.004907,-0.000851,-0.005023,-8.649869,MOVE_JOINT
0.010000,0.497668,-0.205707,0.061021,-0.005759,-0.001035,-0.005802,-8.568315,MOVE_JOINT
0.011000,0.497661,-0.205710,0.061015,-0.006351,-0.001647,-0.006131,-8.353823,MOVE_JOINT
0.012000,0.497657,-0.205713,0.061011,-0.006464,-0.002494,-0.006011,-8.182232,MOVE_JOINT
0.013000,0.497651,-0.205714,0.061008,-0.007902,-0.002690,-0.006218,-8.044965,MOVE_JOINT
0.014000,0.497642,-0.205719,0.061004,-0.009151,-0.002898,-0.006519,-7.861039,MOVE_JOINT
0.015000,0.497640,-0.205717,0.061003,-0.007486,-0.001431,-0.005027,-7.713898,MOVE_JOINT
0.016000,0.497637,-0.205717,0.061006,-0.006693,-0.001238,-0.003140,-7.637325,MOVE_JOINT
0.017000,0.497622,-0.205720,0.061002,-0.009070,-0.001735,-0.003330,-7.576072,MOVE_JOINT
0.018000,0.497614,-0.205723,0.061004,-0.009185,-0.002305,-0.002262,-7.527072,MOVE_JOINT
0.019000,0.497604,-0.205722,0.061002,-0.009403,-0.001167,-0.002336,-7.487875,MOVE_JOINT
0.020000,0.497598,-0.205724,0.061002,-0.008471,-0.001337,-0.001275,-7.830269,MOVE_JOINT
0.021000,0.497592,-0.205724,0.061003,-0.007434,-0.000129,-0.000786,-8.104176,MOVE_JOINT
0.022000,0.497588,-0.205721,0.061003,-0.006062,0.000784,-0.000362,-8.409609,MOVE_JOINT
0.023000,0.497578,-0.205723,0.061001,-0.007563,0.000266,-0.001101,-8.653944,MOVE_JOINT
0.024000,0.497575,-0.205724,0.061001,-0.005904,-0.000295,-0.000412,-8.849407,MOVE_JOINT
0.025000,0.497566,-0.205729,0.060998,-0.005954,-0.001395,-0.000608,-9.049890,MOVE_JOINT
0.026000,0.497563,-0.205730,0.061000,-0.004273,-0.000888,0.000178,-9.123575,MOVE_JOINT
0.027000,0.497560,-0.205729,0.060997,-0.004330,-0.001299,-0.000337,-9.182525,MOVE_JOINT
0.028000,0.497559,-0.205728,0.060997,-0.003549,-0.000414,-0.000008,-9.229685,MOVE_JOINT
0.029000,0.497557,-0.205729,0.060997,-0.002391,-0.000534,0.000416,-9.081743,MOVE_JOINT
0.030000,0.497558,-0.205728,0.061000,-0.001615,-0.000164,0.001397,-8.963387,MOVE_JOINT
0.031000,0.497561,-0.205723,0.061002,-0.000655,0.001014,0.001598,-8.868701,MOVE_JOINT
0.032000,0.497555,-0.205727,0.061001,-0.002792,-0.000721,0.000872,-8.767758,MOVE_JOINT
0.033000,0.497558,-0.205727,0.061005,-0.001493,-0.000460,0.001946,-8.686999,MOVE_JOINT
0.034000,0.497557,-0.205726,0.061007,-0.001949,-0.000385,0.002080,-8.754668,MOVE_JOINT
0.035000,0.497555,-0.205729,0.061008,-0.001810,-0.001229,0.002074,-8.808804,MOVE_JOINT
0.036000,0.497558,-0.205729,0.061014,-0.000929,-0.000994,0.002645,-8.852112,MOVE_JOINT
0.037000,0.497557,-0.205732,0.061017,-0.000873,-0.001588,0.002799,-8.864007,MOVE_JOINT
0.038000,0.497557,-0.205730,0.061018,-0.000621,-0.000493,0.002607,-8.873523,MOVE_JOINT
0.039000,0.497563,-0.205729,0.061023,0.000814,-0.000037,0.003215,-8.881141,MOVE_JOINT
0.040000,0.497562,-0.205731,0.061024,0.000306,-0.000852,0.002630,-8.958671,MOVE_JOINT
0.041000,0.497561,-0.205732,0.061024,-0.000035,-0.001201,0.001673,-9.111099,MOVE_JOINT
0.042000,0.497564,-0.205732,0.061025,0.000923,-0.000530,0.001762,-9.233041,MOVE_JOINT
0.043000,0.497565,-0.205734,0.061027,0.001048,-0.001288,0.001757,-9.330595,MOVE_JOINT
0.044000,0.497569,-0.205733,0.061029,0.001947,-0.000918,0.002066,-9.408638,MOVE_JOINT
0.045000,0.497569,-0.205733,0.061028,0.000666,-0.000591,0.001044,-9.340234,MOVE_JOINT
0.046000,0.497574,-0.205736,0.061032,0.001705,-0.001466,0.001763,-9.088651,MOVE_JOINT
0.047000,0.497569,-0.205741,0.061031,-0.000542,-0.003081,0.001003,-8.887384,MOVE_JOINT
0.048000,0.497572,-0.205739,0.061032,-0.000359,-0.001648,0.000708,-8.726371,MOVE_JOINT
0.049000,0.497572,-0.205739,0.061033,-0.000198,-0.001233,0.001081,-8.523223,MOVE_JOINT
0.050000,0.497570,-0.205741,0.061032,-0.000433,-0.001396,0.000264,-8.360703,MOVE_JOINT
0.051000,0.497572,-0.205745,0.061035,0.000216,-0.001653,0.001156,-8.316926,MOVE_JOINT
0.052000,0.497568,-0.205744,0.061033,-0.001561,-0.001178,0.000135,-8.281902,MOVE_JOINT
0.053000,0.497573,-0.205744,0.061037,0.000922,-0.001136,0.001743,-8.253885,MOVE_JOINT
0.054000,0.497574,-0.205744,0.061039,0.000826,-0.001112,0.001815,-8.353475,MOVE_JOINT
0.055000,0.497569,-0.205747,0.061036,-0.000593,-0.002114,0.001095,-8.433147,MOVE_JOINT
0.056000,0.497569,-0.205747,0.061038,0.000218,-0.001139,0.001478,-8.554733,MOVE_JOINT
0.057000,0.497569,-0.205748,0.061038,0.000195,-0.000984,0.000969,-8.652001,MOVE_JOINT
0.058000,0.497568,-0.205748,0.061038,0.000645,-0.001027,0.001072,-8.729816,MOVE_JOINT
0.059000,0.497569,-0.205747,0.061038,0.000898,-0.000085,0.000853,-8.784752,MOVE_JOINT
0.060000,0.497568,-0.205747,0.061038,0.000922,0.000150,0.000766,-8.828701,MOVE_JOINT
0.061000,0.497564,-0.205749,0.061038,-0.000952,-0.000394,0.000186,-8.780081,MOVE_JOINT
0.062000,0.497570,-0.205743,0.061042,0.001439,0.001720,0.001220,-8.741185,MOVE_JOINT
0.063000,0.497567,-0.205746,0.061041,-0.000035,0.000406,0.000297,-8.710067,MOVE_JOINT
0.064000,0.497567,-0.205745,0.061041,0.000372,0.000815,0.000361,-8.685173,MOVE_JOINT
0.065000,0.497570,-0.205745,0.061044,0.001520,0.000006,0.001630,-8.612288,MOVE_JOINT
0.066000,0.497566,-0.205747,0.061043,0.000470,-0.000181,0.000926,-8.553979,MOVE_JOINT
0.067000,0.497572,-0.205744,0.061046,0.001316,0.000275,0.001365,-8.456478,MOVE_JOINT
0.068000,0.497570,-0.205739,0.061045,0.000971,0.001005,0.001195,-8.378479,MOVE_JOINT
0.069000,0.497570,-0.205739,0.061045,0.001164,0.000913,0.001337,-8.316082,MOVE_JOINT
0.070000,0.497571,-0.205736,0.061047,0.000666,0.001458,0.001116,-8.418512,MOVE_JOINT
0.071000,0.497575,-0.205736,0.061051,0.001297,0.001243,0.001713,-8.500455,MOVE_JOINT
0.072000,0.497576,-0.205734,0.061053,0.000989,0.001508,0.001559,-8.609672,MOVE_JOINT
0.073000,0.497577,-0.205731,0.061053,0.001179,0.002257,0.001014,-8.697046,MOVE_JOINT
0.074000,0.497573,-0.205733,0.061051,-0.000862,0.000586,-0.000162,-8.766945,MOVE_JOINT
0.075000,0.497577,-0.205731,0.061054,0.000497,0.001312,0.000702,-8.913475,MOVE_JOINT
0.076000,0.497576,-0.205731,0.061055,0.000379,0.000960,0.000801,-9.030699,MOVE_JOINT
0.077000,0.497575,-0.205732,0.061055,-0.000253,0.001160,0.000328,-9.044233,MOVE_JOINT
0.078000,0.497575,-0.205733,0.061057,0.000377,0.000085,0.001229,-9.055059,MOVE_JOINT
0.079000,0.497574,-0.205730,0.061057,-0.000254,0.000487,0.000652,-9.063722,MOVE_JOINT
0.080000,0.497574,-0.205732,0.061057,-0.000323,-0.000678,0.000653,-8.991109,MOVE_JOINT
0.081000,0.497574,-0.205733,0.061057,0.000033,-0.000603,0.000640,-8.933020,MOVE_JOINT
0.082000,0.497577,-0.205735,0.061060,0.001002,-0.001082,0.001429,-8.772354,MOVE_JOINT
0.083000,0.497579,-0.205733,0.061061,0.001528,-0.000469,0.001386,-8.643820,MOVE_JOINT
0.084000,0.497577,-0.205736,0.061060,0.000185,-0.001091,0.000478,-8.540992,MOVE_JOINT
0.085000,0.497577,-0.205735,0.061059,0.000678,-0.000608,0.000334,-8.521637,MOVE_JOINT
0.086000,0.497581,-0.205734,0.061062,0.001650,-0.000034,0.000785,-8.506152,MOVE_JOINT
0.087000,0.497580,-0.205734,0.061061,0.000515,0.000312,-0.000117,-8.490497,MOVE_JOINT
0.088000,0.497581,-0.205735,0.061062,0.000998,0.000178,0.000052,-8.477973,MOVE_JOINT
0.089000,0.497584,-0.205735,0.061064,0.001884,0.000538,0.000511,-8.467953,MOVE_JOINT
0.090000,0.497583,-0.205739,0.061065,0.001517,-0.000278,0.000549,-8.535362,MOVE_JOINT
0.091000,0.497583,-0.205737,0.061065,0.000951,0.000378,0.000107,-8.589289,MOVE_JOINT
0.092000,0.497583,-0.205738,0.061066,0.001271,0.000556,0.000624,-8.641050,MOVE_JOINT
0.093000,0.497584,-0.205738,0.061067,0.001327,0.000962,0.000822,-8.682458,MOVE_JOINT
0.094000,0.497583,-0.205742,0.061069,0.000826,-0.000478,0.001297,-8.722525,MOVE_JOINT
0.095000,0.497581,-0.205743,0.061068,-0.000140,-0.000210,0.000502,-8.754578,MOVE_JOINT
0.096000,0.497581,-0.205744,0.061069,0.000066,-0.000521,0.000719,-8.780220,MOVE_JOINT
0.097000,0.497581,-0.205744,0.061070,0.000081,-0.000477,0.000409,-8.732525,MOVE_JOINT
0.098000,0.497579,-0.205744,0.061069,-0.000665,-0.000730,-0.000031,-8.694369,MOVE_JOINT
0.099000,0.497579,-0.205745,0.061071,0.000159,-0.000169,0.000545,-8.663843,MOVE_JOINT
0.100000,0.497581,-0.205747,0.061071,0.000404,-0.000714,0.000310,-8.619761,MOVE_JOINT
0.101000,0.497580,-0.205745,0.061071,0.001070,0.000318,0.000526,-8.584494,MOVE_JOINT
0.102000,0.497581,-0.205748,0.061073,0.000766,-0.000876,0.000780,-8.556282,MOVE_JOINT
0.103000,0.497582,-0.205746,0.061073,0.000828,0.000048,0.000662,-8.568358,MOVE_JOINT
0.104000,0.497581,-0.205749,0.061073,0.000295,-0.001213,0.000602,-8.578019,MOVE_JOINT
0.105000,0.497580,-0.205748,0.061071,0.000020,-0.000445,0.000157,-8.617618,MOVE_JOINT
0.106000,0.497582,-0.205749,0.061074,0.000656,-0.000903,0.000817,-8.649298,MOVE_JOINT
0.107000,0.497576,-0.205750,0.061072,-0.000923,-0.001387,0.000068,-8.674645,MOVE_JOINT
0.108000,0.497578,-0.205752,0.061074,-0.000783,-0.002117,0.000837,-8.725908,MOVE_JOINT
0.109000,0.497575,-0.205748,0.061073,-0.001169,-0.000666,0.000295,-8.779726,MOVE_JOINT
0.110000,0.497575,-0.205751,0.061073,-0.001022,-0.000976,0.000074,-8.822781,MOVE_JOINT
0.111000,0.497572,-0.205748,0.061073,-0.001358,-0.000227,0.000125,-8.857224,MOVE_JOINT
0.112000,0.497574,-0.205750,0.061075,-0.000738,-0.000714,0.000717,-8.884778,MOVE_JOINT
0.113000,0.497571,-0.205751,0.061075,-0.001055,-0.000708,0.000771,-8.920656,MOVE_JOINT
0.114000,0.497568,-0.205751,0.061073,-0.001513,-0.000057,-0.000303,-8.906730,MOVE_JOINT
0.115000,0.497567,-0.205753,0.061072,-0.001516,-0.000219,-0.000310,-8.895589,MOVE_JOINT
0.116000,0.497568,-0.205753,0.061074,-0.000904,-0.000185,0.000052,-8.886675,MOVE_JOINT
0.117000,0.497568,-0.205752,0.061074,-0.000655,0.000031,-0.000106,-8.837690,MOVE_JOINT
0.118000,0.497564,-0.205756,0.061073,-0.001425,-0.000374,-0.000362,-8.798502,MOVE_JOINT
0.119000,0.497563,-0.205757,0.061071,-0.001449,-0.000856,-0.000687,-8.801984,MOVE_JOINT
0.120000,0.497562,-0.205757,0.061072,-0.000568,-0.000704,-0.000099,-8.804770,MOVE_JOINT
0.121000,0.497564,-0.205755,0.061073,0.000033,0.000553,0.000050,-8.806997,MOVE_JOINT
0.122000,0.497563,-0.205757,0.061075,-0.000211,0.000234,0.000676,-8.784084,MOVE_JOINT
0.123000,0.497559,-0.205759,0.061073,-0.001362,0.000373,-0.000197,-8.765752,MOVE_JOINT
0.124000,0.497557,-0.205760,0.061074,-0.001417,-0.000230,0.000078,-8.786924,MOVE_JOINT
0.125000,0.497554,-0.205759,0.061073,-0.002430,-0.000312,-0.000234,-8.803862,MOVE_JOINT
0.126000,0.497558,-0.205761,0.061076,-0.001080,-0.000211,0.000346,-8.817411,MOVE_JOINT
0.127000,0.497554,-0.205757,0.061075,-0.001688,0.000902,0.000111,-8.832410,MOVE_JOINT
0.128000,0.497554,-0.205758,0.061076,-0.001319,0.000162,0.000317,-8.844409,MOVE_JOINT
0.129000,0.497553,-0.205758,0.061076,-0.001483,0.000278,-0.000035,-8.771324,MOVE_JOINT
0.130000,0.497554,-0.205756,0.061076,-0.000932,0.000790,0.000017,-8.712856,MOVE_JOINT
0.131000,0.497554,-0.205755,0.061076,-0.000350,0.000960,0.000201,-8.666081,MOVE_JOINT
0.132000,0.497555,-0.205757,0.061079,0.000019,0.000446,0.000466,-8.628648,MOVE_JOINT
0.133000,0.497556,-0.205757,0.061080,0.000403,0.000330,0.000667,-8.598700,MOVE_JOINT
0.134000,0.497556,-0.205757,0.061081,-0.000177,0.000198,0.000308,-8.587185,MOVE_JOINT
0.135000,0.497558,-0.205751,0.061081,0.000557,0.001555,0.000651,-8.577976,MOVE_JOINT
0.136000,0.497561,-0.205750,0.061084,0.001264,0.001440,0.001582,-8.570606,MOVE_JOINT
0.137000,0.497562,-0.205748,0.061083,0.000885,0.001688,0.000912,-8.564976,MOVE_JOINT
0.138000,0.497567,-0.205743,0.061086,0.002176,0.002290,0.001475,-8.560471,MOVE_JOINT
0.139000,0.497570,-0.205741,0.061087,0.002288,0.002848,0.001074,-8.619912,MOVE_JOINT
0.140000,0.497567,-0.205743,0.061086,0.000842,0.001382,0.000378,-8.667465,MOVE_JOINT
0.141000,0.497570,-0.205742,0.061088,0.001967,0.001459,0.000831,-8.705507,MOVE_JOINT
0.142000,0.497572,-0.205737,0.061089,0.002588,0.003155,0.000929,-8.739845,MOVE_JOINT
0.143000,0.497569,-0.205736,0.061087,0.001273,0.002458,0.000325,-8.767316,MOVE_JOINT
0.144000,0.497569,-0.205738,0.061089,0.001197,0.001422,0.000775,-8.806336,MOVE_JOINT
0.145000,0.497571,-0.205739,0.061091,0.002029,0.000667,0.001220,-8.837551,MOVE_JOINT
0.146000,0.497575,-0.205734,0.061092,0.002771,0.002060,0.001611,-8.862525,MOVE_JOINT
0.147000,0.497572,-0.205734,0.061090,0.001642,0.001277,0.000744,-8.816926,MOVE_JOINT
