t,x,y,z,vx,vy,vz,Fz,phase
0.000000,0.427008,-0.198783,-0.143095,0.001570,-0.000565,0.000953,6.527588,WAIT_USER_CONFIRM
0.001000,0.427006,-0.198783,-0.143095,0.000968,-0.000759,0.000971,6.527622,WAIT_USER_CONFIRM
0.002000,0.427008,-0.198781,-0.143095,0.001018,0.000363,0.000364,6.527790,WAIT_USER_CONFIRM
0.003000,0.427011,-0.198781,-0.143093,0.001901,0.000325,0.000793,6.528200,WAIT_USER_CONFIRM
0.004000,0.427007,-0.198781,-0.143096,0.001071,0.000246,0.000351,6.528911,WAIT_USER_CONFIRM
0.005000,0.427002,-0.198780,-0.143099,-0.000087,0.000470,-0.000673,6.529907,WAIT_USER_CONFIRM
0.006000,0.427007,-0.198780,-0.143096,0.001223,0.000112,0.000379,6.531078,WAIT_USER_CONFIRM
0.007000,0.427012,-0.198781,-0.143093,0.002029,0.000110,0.000715,6.532229,WAIT_USER_CONFIRM
0.008000,0.427015,-0.198785,-0.143090,0.001772,-0.000474,0.000939,6.533154,WAIT_USER_CONFIRM
0.009000,0.427023,-0.198788,-0.143082,0.003750,-0.000455,0.002885,6.533718,WAIT_USER_CONFIRM
0.010000,0.427031,-0.198791,-0.143076,0.004753,-0.001051,0.003791,6.533944,WAIT_USER_CONFIRM
0.011000,0.427043,-0.198795,-0.143065,0.007488,-0.001583,0.005776,6.534088,WAIT_USER_CONFIRM
0.012000,0.427047,-0.198798,-0.143059,0.006164,-0.001987,0.005787,6.534642,WAIT_USER_CONFIRM
0.013000,0.427061,-0.198803,-0.143046,0.008094,-0.002073,0.007323,6.536261,WAIT_USER_CONFIRM
0.014000,0.427079,-0.198810,-0.143033,0.010427,-0.003671,0.008633,6.539651,WAIT_USER_CONFIRM
0.015000,0.427092,-0.198820,-0.143018,0.011538,-0.005329,0.010187,6.545472,WAIT_USER_CONFIRM
0.016000,0.427106,-0.198826,-0.143007,0.011721,-0.005439,0.010343,6.554239,WAIT_USER_CONFIRM
0.017000,0.427128,-0.198837,-0.142987,0.014042,-0.006886,0.012531,6.566268,WAIT_USER_CONFIRM
0.018000,0.427147,-0.198846,-0.142972,0.015860,-0.007665,0.013585,6.581667,WAIT_USER_CONFIRM
0.019000,0.427173,-0.198858,-0.142951,0.018743,-0.009574,0.015929,6.600372,WAIT_USER_CONFIRM
0.020000,0.427196,-0.198869,-0.142932,0.020638,-0.010285,0.017306,6.622193,WAIT_USER_CONFIRM
0.021000,0.427220,-0.198878,-0.142914,0.021803,-0.009950,0.017606,6.646839,WAIT_USER_CONFIRM
0.022000,0.427246,-0.198890,-0.142893,0.023642,-0.010694,0.019211,6.673904,WAIT_USER_CONFIRM
0.023000,0.427274,-0.198904,-0.142871,0.026110,-0.011449,0.020542,6.702854,WAIT_USER_CONFIRM
0.024000,0.427300,-0.198916,-0.142850,0.026857,-0.011962,0.021024,6.733046,WAIT_USER_CONFIRM
0.025000,0.427331,-0.198929,-0.142828,0.028582,-0.012570,0.021767,6.763743,WAIT_USER_CONFIRM
0.026000,0.427360,-0.198941,-0.142805,0.029454,-0.012378,0.022600,6.794105,WAIT_USER_CONFIRM
0.027000,0.427392,-0.198956,-0.142781,0.030386,-0.013754,0.023332,6.823219,WAIT_USER_CONFIRM
0.028000,0.427430,-0.198971,-0.142754,0.032969,-0.013721,0.024636,6.850171,WAIT_USER_CONFIRM
0.029000,0.427459,-0.198983,-0.142732,0.032615,-0.012606,0.023993,6.874108,WAIT_USER_CONFIRM
0.030000,0.427494,-0.198996,-0.142707,0.033419,-0.013317,0.024669,6.894246,WAIT_USER_CONFIRM
0.031000,0.427533,-0.199010,-0.142681,0.035863,-0.013411,0.025799,6.909876,WAIT_USER_CONFIRM
0.032000,0.427564,-0.199022,-0.142658,0.034113,-0.012789,0.024689,6.920367,WAIT_USER_CONFIRM
0.033000,0.427601,-0.199035,-0.142631,0.035816,-0.013289,0.025902,6.925189,WAIT_USER_CONFIRM
0.034000,0.427642,-0.199053,-0.142602,0.037456,-0.014923,0.027068,6.923918,WAIT_USER_CONFIRM
