t,x,y,z,vx,vy,vz,Fz,phase
0.000000,0.500949,-0.098390,-0.033955,0.000628,0.000722,0.000220,-0.200220,WAIT_USER_CONFIRM
0.001000,0.500946,-0.098391,-0.033956,-0.000398,-0.000067,0.000317,-0.200230,WAIT_USER_CONFIRM
0.002000,0.500947,-0.098391,-0.033956,-0.000853,-0.000203,-0.000239,-0.200274,WAIT_USER_CONFIRM
0.003000,0.500946,-0.098394,-0.033957,-0.000912,-0.001299,-0.000112,-0.200379,WAIT_USER_CONFIRM
0.004000,0.500945,-0.098392,-0.033957,0.000155,0.000110,0.000431,-0.200575,WAIT_USER_CONFIRM
0.005000,0.500946,-0.098392,-0.033957,0.000388,0.000272,0.000588,-0.200875,WAIT_USER_CONFIRM
0.006000,0.500940,-0.098393,-0.033962,-0.001669,0.000029,-0.001192,-0.201250,WAIT_USER_CONFIRM
0.007000,0.500945,-0.098390,-0.033961,-0.000159,0.000359,-0.000670,-0.201672,WAIT_USER_CONFIRM
0.008000,0.500939,-0.098392,-0.033965,-0.002377,-0.000325,-0.001921,-0.202190,WAIT_USER_CONFIRM
0.009000,0.500940,-0.098393,-0.033962,-0.001754,-0.000466,-0.001002,-0.202954,WAIT_USER_CONFIRM
0.010000,0.500942,-0.098393,-0.033960,-0.001171,-0.000178,-0.000742,-0.204162,WAIT_USER_CONFIRM
0.011000,0.500942,-0.098392,-0.033958,0.000044,0.000232,0.000540,-0.205972,WAIT_USER_CONFIRM
0.012000,0.500943,-0.098398,-0.033958,-0.000342,-0.001828,0.000374,-0.208417,WAIT_USER_CONFIRM
0.013000,0.500941,-0.098393,-0.033957,-0.000790,-0.000229,0.000506,-0.211390,WAIT_USER_CONFIRM
0.014000,0.500938,-0.098396,-0.033955,-0.000537,-0.001093,0.001183,-0.214689,WAIT_USER_CONFIRM
0.015000,0.500938,-0.098396,-0.033955,-0.000900,-0.000693,0.000560,-0.218069,WAIT_USER_CONFIRM
0.016000,0.500940,-0.098395,-0.033951,-0.000305,-0.000663,0.001694,-0.221282,WAIT_USER_CONFIRM
0.017000,0.500940,-0.098396,-0.033949,0.000058,-0.001003,0.002014,-0.224100,WAIT_USER_CONFIRM
0.018000,0.500941,-0.098399,-0.033948,0.000293,-0.001316,0.001927,-0.226317,WAIT_USER_CONFIRM
0.019000,0.500941,-0.098401,-0.033946,0.000385,-0.001578,0.002147,-0.227761,WAIT_USER_CONFIRM
0.020000,0.500945,-0.098397,-0.033946,0.002127,-0.000236,0.001798,-0.228335,WAIT_USER_CONFIRM
0.021000,0.500942,-0.098401,-0.033943,0.000596,-0.001834,0.002072,-0.228058,WAIT_USER_CONFIRM
0.022000,0.500943,-0.098397,-0.033943,0.000755,-0.000122,0.001370,-0.227068,WAIT_USER_CONFIRM
0.023000,0.500942,-0.098398,-0.033945,-0.000447,-0.000840,0.000136,-0.225622,WAIT_USER_CONFIRM
0.024000,0.500946,-0.098398,-0.033940,0.000894,-0.000880,0.001742,-0.224096,WAIT_USER_CONFIRM
0.025000,0.500950,-0.098398,-0.033938,0.001485,-0.001253,0.001766,-0.222942,WAIT_USER_CONFIRM
0.026000,0.500954,-0.098396,-0.033937,0.001651,0.000208,0.001406,-0.222591,WAIT_USER_CONFIRM
0.027000,0.500953,-0.098399,-0.033935,0.001245,-0.000713,0.001708,-0.223391,WAIT_USER_CONFIRM
0.028000,0.500953,-0.098397,-0.033935,0.001097,0.000040,0.001081,-0.225595,WAIT_USER_CONFIRM
0.029000,0.500956,-0.098396,-0.033933,0.001590,-0.000166,0.001450,-0.229371,WAIT_USER_CONFIRM
0.030000,0.500959,-0.098397,-0.033930,0.002632,0.000071,0.002408,-0.234815,WAIT_USER_CONFIRM
0.031000,0.500958,-0.098397,-0.033930,0.001151,-0.000300,0.001386,-0.241938,WAIT_USER_CONFIRM
0.032000,0.500958,-0.098396,-0.033928,0.000758,-0.000129,0.001771,-0.250676,WAIT_USER_CONFIRM
0.033000,0.500964,-0.098397,-0.033927,0.001685,-0.000214,0.001564,-0.260924,WAIT_USER_CONFIRM
0.034000,0.500963,-0.098399,-0.033925,0.000507,-0.000069,0.001088,-0.272566,WAIT_USER_CONFIRM
0.035000,0.500969,-0.098400,-0.033919,0.002633,-0.000033,0.002596,-0.285494,WAIT_USER_CONFIRM
0.036000,0.500970,-0.098399,-0.033919,0.001369,0.000048,0.001529,-0.299587,WAIT_USER_CONFIRM
0.037000,0.500972,-0.098400,-0.033918,0.002486,0.000477,0.001668,-0.314687,WAIT_USER_CONFIRM
0.038000,0.500973,-0.098397,-0.033917,0.002011,0.001091,0.001211,-0.330619,WAIT_USER_CONFIRM
0.039000,0.500974,-0.098398,-0.033916,0.001369,0.000202,0.000662,-0.347233,WAIT_USER_CONFIRM
0.040000,0.500978,-0.098399,-0.033912,0.002185,-0.000710,0.001555,-0.364439,WAIT_USER_CONFIRM
0.041000,0.500982,-0.098395,-0.033909,0.003071,0.001367,0.002119,-0.382194,WAIT_USER_CONFIRM
0.042000,0.500981,-0.098397,-0.033907,0.002290,0.000301,0.002094,-0.400446,WAIT_USER_CONFIRM
0.043000,0.500982,-0.098400,-0.033906,0.002666,-0.000672,0.002132,-0.419090,WAIT_USER_CONFIRM
0.044000,0.500985,-0.098395,-0.033904,0.002946,0.001122,0.002168,-0.437973,WAIT_USER_CONFIRM
0.045000,0.500987,-0.098401,-0.033900,0.002766,-0.000960,0.002810,-0.456920,WAIT_USER_CONFIRM
0.046000,0.500987,-0.098400,-0.033900,0.001868,0.000146,0.001829,-0.475753,WAIT_USER_CONFIRM
0.047000,0.500992,-0.098398,-0.033895,0.002657,0.000892,0.002627,-0.494298,WAIT_USER_CONFIRM
0.048000,0.500993,-0.098398,-0.033894,0.001868,0.000386,0.002203,-0.512398,WAIT_USER_CONFIRM
0.049000,0.500996,-0.098398,-0.033892,0.002477,0.000255,0.002157,-0.529923,WAIT_USER_CONFIRM
0.050000,0.500999,-0.098395,-0.033889,0.002779,0.001085,0.002519,-0.546774,WAIT_USER_CONFIRM
0.051000,0.501000,-0.098397,-0.033885,0.002898,0.000592,0.003240,-0.562884,WAIT_USER_CONFIRM
0.052000,0.501001,-0.098399,-0.033883,0.002630,0.000697,0.002876,-0.578169,WAIT_USER_CONFIRM
0.053000,0.501003,-0.098397,-0.033882,0.002795,0.000589,0.003066,-0.592508,WAIT_USER_CONFIRM
0.054000,0.501005,-0.098398,-0.033881,0.002745,0.000776,0.002416,-0.605768,WAIT_USER_CONFIRM
0.055000,0.501008,-0.098398,-0.033877,0.003057,0.000567,0.002966,-0.617863,WAIT_USER_CONFIRM
0.056000,0.501008,-0.098400,-0.033877,0.002144,-0.000483,0.002086,-0.628777,WAIT_USER_CONFIRM
0.057000,0.501010,-0.098399,-0.033873,0.002720,0.000093,0.002433,-0.638575,WAIT_USER_CONFIRM
0.058000,0.501011,-0.098400,-0.033872,0.001916,-0.000215,0.001933,-0.647394,WAIT_USER_CONFIRM
0.059000,0.501012,-0.098401,-0.033869,0.002298,-0.000015,0.002722,-0.655410,WAIT_USER_CONFIRM
0.060000,0.501017,-0.098400,-0.033866,0.003119,0.000575,0.002675,-0.662786,WAIT_USER_CONFIRM
0.061000,0.501015,-0.098403,-0.033865,0.001758,-0.000317,0.002185,-0.669643,WAIT_USER_CONFIRM
0.062000,0.501016,-0.098402,-0.033863,0.000807,-0.000089,0.001693,-0.676068,WAIT_USER_CONFIRM
0.063000,0.501014,-0.098403,-0.033863,-0.000060,-0.000019,0.001096,-0.682164,WAIT_USER_CONFIRM
0.064000,0.501018,-0.098401,-0.033860,0.000483,0.000498,0.001419,-0.688085,WAIT_USER_CONFIRM
0.065000,0.501022,-0.098404,-0.033854,0.001670,-0.000452,0.002514,-0.694021,WAIT_USER_CONFIRM
0.066000,0.501020,-0.098406,-0.033855,0.000206,-0.001687,0.001482,-0.700141,WAIT_USER_CONFIRM
0.067000,0.501023,-0.098406,-0.033851,0.000639,-0.001180,0.002200,-0.706560,WAIT_USER_CONFIRM
0.068000,0.501025,-0.098407,-0.033848,0.000837,-0.000260,0.002055,-0.713342,WAIT_USER_CONFIRM
0.069000,0.501029,-0.098404,-0.033845,0.001215,0.000596,0.002155,-0.720488,WAIT_USER_CONFIRM
0.070000,0.501027,-0.098410,-0.033844,0.000337,-0.001147,0.001466,-0.727932,WAIT_USER_CONFIRM
0.071000,0.501031,-0.098409,-0.033842,0.000938,-0.001152,0.001687,-0.735573,WAIT_USER_CONFIRM
0.072000,0.501033,-0.098410,-0.033837,0.001487,-0.000900,0.002605,-0.743325,WAIT_USER_CONFIRM
0.073000,0.501035,-0.098408,-0.033835,0.002021,-0.000361,0.002785,-0.751113,WAIT_USER_CONFIRM
0.074000,0.501032,-0.098410,-0.033836,0.000020,-0.000952,0.001245,-0.758842,WAIT_USER_CONFIRM
0.075000,0.501033,-0.098415,-0.033833,-0.000355,-0.001864,0.001223,-0.766426,WAIT_USER_CONFIRM
