t,x,y,z,vx,vy,vz,Fz,phase
0.000000,0.502003,-0.199227,0.049226,-0.000472,-0.000182,-0.000130,-4.420801,WAIT_USER_CONFIRM
0.001000,0.502004,-0.199225,0.049227,-0.000225,0.000556,0.000133,-4.420774,WAIT_USER_CONFIRM
0.002000,0.502007,-0.199223,0.049225,0.000381,0.000980,-0.000527,-4.420646,WAIT_USER_CONFIRM
0.003000,0.502005,-0.199225,0.049227,-0.000186,0.000733,-0.000286,-4.420335,WAIT_USER_CONFIRM
0.004000,0.502003,-0.199227,0.049226,-0.000501,-0.000155,0.000028,-4.419788,WAIT_USER_CONFIRM
0.005000,0.501999,-0.199224,0.049223,-0.001100,0.001327,-0.000636,-4.418967,WAIT_USER_CONFIRM
0.006000,0.501994,-0.199225,0.049219,-0.001636,0.000485,-0.001044,-4.417824,WAIT_USER_CONFIRM
0.007000,0.501991,-0.199229,0.049216,-0.002341,-0.000276,-0.001959,-4.416318,WAIT_USER_CONFIRM
0.008000,0.501990,-0.199227,0.049213,-0.001910,0.000521,-0.002395,-4.414464,WAIT_USER_CONFIRM
0.009000,0.501989,-0.199230,0.049213,-0.001748,0.000189,-0.002048,-4.412356,WAIT_USER_CONFIRM
0.010000,0.501986,-0.199229,0.049213,-0.001976,0.000326,-0.001699,-4.410138,WAIT_USER_CONFIRM
0.011000,0.501981,-0.199232,0.049210,-0.003140,-0.000752,-0.002126,-4.407931,WAIT_USER_CONFIRM
0.012000,0.501980,-0.199233,0.049210,-0.002767,-0.000673,-0.001847,-4.405790,WAIT_USER_CONFIRM
0.013000,0.501978,-0.199233,0.049208,-0.002021,-0.000912,-0.001197,-4.403703,WAIT_USER_CONFIRM
0.014000,0.501976,-0.199234,0.049207,-0.002319,-0.001064,-0.001367,-4.401594,WAIT_USER_CONFIRM
0.015000,0.501972,-0.199235,0.049204,-0.003074,-0.000806,-0.001951,-4.399328,WAIT_USER_CONFIRM
0.016000,0.501966,-0.199239,0.049200,-0.003742,-0.001098,-0.002780,-4.396759,WAIT_USER_CONFIRM
0.017000,0.501964,-0.199241,0.049201,-0.003067,-0.000841,-0.002125,-4.393791,WAIT_USER_CONFIRM
0.018000,0.501962,-0.199240,0.049198,-0.003351,-0.000772,-0.002498,-4.390394,WAIT_USER_CONFIRM
0.019000,0.501958,-0.199244,0.049197,-0.003247,-0.001027,-0.002001,-4.386579,WAIT_USER_CONFIRM
0.020000,0.501952,-0.199243,0.049192,-0.004290,-0.000828,-0.003254,-4.382362,WAIT_USER_CONFIRM
0.021000,0.501949,-0.199246,0.049192,-0.003715,-0.001253,-0.002264,-4.377766,WAIT_USER_CONFIRM
0.022000,0.501945,-0.199248,0.049190,-0.003563,-0.001847,-0.001857,-4.372813,WAIT_USER_CONFIRM
0.023000,0.501941,-0.199250,0.049187,-0.003507,-0.002198,-0.001930,-4.367505,WAIT_USER_CONFIRM
0.024000,0.501939,-0.199254,0.049186,-0.003066,-0.003115,-0.001385,-4.361814,WAIT_USER_CONFIRM
0.025000,0.501937,-0.199251,0.049184,-0.002769,-0.001278,-0.001575,-4.355696,WAIT_USER_CONFIRM
0.026000,0.501933,-0.199254,0.049182,-0.003105,-0.001337,-0.001992,-4.349106,WAIT_USER_CONFIRM
0.027000,0.501931,-0.199257,0.049182,-0.003017,-0.001507,-0.001751,-4.341997,WAIT_USER_CONFIRM
0.028000,0.501929,-0.199258,0.049180,-0.002661,-0.001032,-0.001705,-4.334338,WAIT_USER_CONFIRM
0.029000,0.501927,-0.199259,0.049179,-0.002568,-0.001599,-0.001253,-4.326114,WAIT_USER_CONFIRM
0.030000,0.501924,-0.199258,0.049176,-0.002443,-0.000621,-0.001760,-4.317311,WAIT_USER_CONFIRM
0.031000,0.501924,-0.199258,0.049177,-0.001828,-0.000173,-0.001279,-4.307910,WAIT_USER_CONFIRM
0.032000,0.501922,-0.199261,0.049176,-0.001858,-0.000483,-0.001335,-4.297884,WAIT_USER_CONFIRM
0.033000,0.501920,-0.199262,0.049175,-0.001681,-0.001297,-0.000928,-4.287194,WAIT_USER_CONFIRM
0.034000,0.501916,-0.199266,0.049175,-0.002580,-0.002293,-0.000861,-4.275799,WAIT_USER_CONFIRM
0.035000,0.501913,-0.199266,0.049172,-0.002729,-0.001651,-0.001374,-4.263678,WAIT_USER_CONFIRM
0.036000,0.501914,-0.199266,0.049172,-0.001058,-0.000829,-0.000760,-4.250847,WAIT_USER_CONFIRM
0.037000,0.501913,-0.199266,0.049172,-0.001208,-0.001125,-0.000621,-4.237348,WAIT_USER_CONFIRM
0.038000,0.501914,-0.199266,0.049173,-0.000429,-0.000872,0.000282,-4.223221,WAIT_USER_CONFIRM
0.039000,0.501911,-0.199269,0.049171,-0.001365,-0.001602,-0.000285,-4.208476,WAIT_USER_CONFIRM
0.040000,0.501909,-0.199270,0.049170,-0.000885,-0.000810,-0.000034,-4.193082,WAIT_USER_CONFIRM
0.041000,0.501906,-0.199267,0.049166,-0.001934,0.000695,-0.001546,-4.177001,WAIT_USER_CONFIRM
0.042000,0.501904,-0.199270,0.049168,-0.001994,-0.000233,-0.000695,-4.160217,WAIT_USER_CONFIRM
0.043000,0.501902,-0.199270,0.049165,-0.002388,-0.000041,-0.001369,-4.142752,WAIT_USER_CONFIRM
0.044000,0.501901,-0.199271,0.049164,-0.002065,-0.000268,-0.001446,-4.124671,WAIT_USER_CONFIRM
0.045000,0.501899,-0.199271,0.049162,-0.001489,0.000272,-0.001493,-4.106074,WAIT_USER_CONFIRM
0.046000,0.501897,-0.199274,0.049162,-0.002556,-0.000472,-0.001557,-4.087101,WAIT_USER_CONFIRM
0.047000,0.501896,-0.199273,0.049162,-0.002574,-0.000484,-0.001400,-4.067917,WAIT_USER_CONFIRM
0.048000,0.501890,-0.199275,0.049159,-0.003453,-0.001036,-0.001970,-4.048698,WAIT_USER_CONFIRM
0.049000,0.501892,-0.199275,0.049160,-0.002652,-0.000762,-0.001381,-4.029623,WAIT_USER_CONFIRM
0.050000,0.501889,-0.199276,0.049159,-0.002473,-0.000586,-0.001116,-4.010850,WAIT_USER_CONFIRM
0.051000,0.501885,-0.199276,0.049154,-0.003332,-0.000443,-0.002523,-3.992494,WAIT_USER_CONFIRM
0.052000,0.501881,-0.199276,0.049151,-0.003630,0.000179,-0.002536,-3.974639,WAIT_USER_CONFIRM
0.053000,0.501880,-0.199274,0.049149,-0.002656,0.000598,-0.002412,-3.957374,WAIT_USER_CONFIRM
0.054000,0.501875,-0.199276,0.049147,-0.003068,0.000051,-0.002026,-3.940796,WAIT_USER_CONFIRM
0.055000,0.501875,-0.199279,0.049148,-0.002181,-0.000585,-0.001267,-3.924972,WAIT_USER_CONFIRM
0.056000,0.501871,-0.199278,0.049145,-0.003155,-0.000509,-0.001915,-3.909920,WAIT_USER_CONFIRM
0.057000,0.501869,-0.199276,0.049142,-0.002998,0.000263,-0.002259,-3.895617,WAIT_USER_CONFIRM
0.058000,0.501861,-0.199282,0.049140,-0.003659,-0.001619,-0.001764,-3.882033,WAIT_USER_CONFIRM
0.059000,0.501859,-0.199279,0.049137,-0.003034,0.000245,-0.002156,-3.869162,WAIT_USER_CONFIRM
0.060000,0.501855,-0.199279,0.049133,-0.003357,-0.000005,-0.002572,-3.857012,WAIT_USER_CONFIRM
0.061000,0.501855,-0.199279,0.049132,-0.002282,-0.000080,-0.001761,-3.845609,WAIT_USER_CONFIRM
0.062000,0.501851,-0.199279,0.049129,-0.002556,0.000075,-0.001975,-3.834980,WAIT_USER_CONFIRM
0.063000,0.501846,-0.199280,0.049127,-0.004055,-0.000718,-0.002227,-3.825148,WAIT_USER_CONFIRM
0.064000,0.501844,-0.199281,0.049126,-0.003532,-0.001782,-0.001472,-3.816116,WAIT_USER_CONFIRM
0.065000,0.501838,-0.199281,0.049120,-0.004583,-0.001085,-0.002899,-3.807879,WAIT_USER_CONFIRM
0.066000,0.501834,-0.199281,0.049118,-0.004558,-0.000880,-0.002990,-3.800448,WAIT_USER_CONFIRM
0.067000,0.501840,-0.199281,0.049122,-0.001721,-0.000813,-0.000550,-3.793854,WAIT_USER_CONFIRM
0.068000,0.501835,-0.199282,0.049119,-0.002640,-0.000943,-0.001724,-3.788106,WAIT_USER_CONFIRM
0.069000,0.501832,-0.199283,0.049117,-0.002108,-0.000735,-0.001616,-3.783137,WAIT_USER_CONFIRM
0.070000,0.501829,-0.199284,0.049116,-0.002856,-0.001326,-0.001306,-3.778832,WAIT_USER_CONFIRM
0.071000,0.501827,-0.199284,0.049115,-0.003082,-0.001461,-0.001084,-3.775070,WAIT_USER_CONFIRM
0.072000,0.501825,-0.199284,0.049112,-0.003220,-0.000680,-0.001962,-3.771729,WAIT_USER_CONFIRM
0.073000,0.501824,-0.199284,0.049111,-0.002710,-0.000171,-0.002077,-3.768696,WAIT_USER_CONFIRM
0.074000,0.501819,-0.199286,0.049107,-0.003290,-0.000487,-0.002334,-3.765894,WAIT_USER_CONFIRM
0.075000,0.501817,-0.199286,0.049106,-0.002865,-0.000976,-0.001858,-3.763292,WAIT_USER_CONFIRM
0.076000,0.501816,-0.199285,0.049107,-0.002159,-0.000650,-0.000521,-3.760884,WAIT_USER_CONFIRM
0.077000,0.501815,-0.199285,0.049104,-0.002382,-0.000780,-0.001162,-3.758634,WAIT_USER_CONFIRM
0.078000,0.501811,-0.199286,0.049101,-0.002518,-0.000991,-0.001449,-3.756460,WAIT_USER_CONFIRM
0.079000,0.501811,-0.199285,0.049102,-0.001660,-0.000157,-0.001012,-3.754262,WAIT_USER_CONFIRM
0.080000,0.501806,-0.199284,0.049098,-0.003170,0.000234,-0.002364,-3.751967,WAIT_USER_CONFIRM
0.081000,0.501806,-0.199288,0.049100,-0.002759,-0.001135,-0.000842,-3.749539,WAIT_USER_CONFIRM
0.082000,0.501808,-0.199288,0.049101,-0.001841,-0.000625,-0.000636,-3.746964,WAIT_USER_CONFIRM
0.083000,0.501807,-0.199290,0.049101,-0.001417,-0.000762,-0.000387,-3.744211,WAIT_USER_CONFIRM
0.084000,0.501802,-0.199288,0.049096,-0.002375,-0.000327,-0.001832,-3.741215,WAIT_USER_CONFIRM
0.085000,0.501803,-0.199290,0.049098,-0.001256,-0.000951,-0.000272,-3.737909,WAIT_USER_CONFIRM
0.086000,0.501802,-0.199290,0.049098,-0.001070,-0.000748,0.000030,-3.734255,WAIT_USER_CONFIRM
0.087000,0.501796,-0.199290,0.049094,-0.002579,-0.000786,-0.001352,-3.730218,WAIT_USER_CONFIRM
0.088000,0.501795,-0.199289,0.049093,-0.002448,-0.000502,-0.001309,-3.725775,WAIT_USER_CONFIRM
0.089000,0.501798,-0.199287,0.049093,-0.000990,0.000386,-0.000929,-3.720945,WAIT_USER_CONFIRM
0.090000,0.501796,-0.199287,0.049091,-0.001019,0.000483,-0.001206,-3.715796,WAIT_USER_CONFIRM
0.091000,0.501795,-0.199287,0.049090,-0.000681,0.000726,-0.001122,-3.710415,WAIT_USER_CONFIRM
0.092000,0.501795,-0.199291,0.049093,-0.000213,-0.001115,0.000494,-3.704876,WAIT_USER_CONFIRM
0.093000,0.501791,-0.199290,0.049089,-0.001197,-0.000314,-0.000903,-3.699220,WAIT_USER_CONFIRM
0.094000,0.501793,-0.199289,0.049090,-0.000437,-0.000041,-0.000407,-3.693443,WAIT_USER_CONFIRM
