t,x,y,z,vx,vy,vz,Fz,phase
0.000000,0.496861,-0.206929,0.114846,0.000383,-0.000108,0.000464,-8.201755,MOVE_JOINT
0.001000,0.496863,-0.206929,0.114847,0.000650,-0.000430,0.000697,-8.201754,MOVE_JOINT
0.002000,0.496865,-0.206923,0.114847,0.000555,0.001607,-0.000037,-8.201753,MOVE_JOINT
0.003000,0.496867,-0.206926,0.114849,0.000177,0.000250,0.000228,-8.217593,MOVE_JOINT
0.004000,0.496860,-0.206925,0.114844,-0.001454,0.000769,-0.000999,-8.230268,MOVE_JOINT
0.005000,0.496854,-0.206921,0.114837,-0.001809,0.002201,-0.002130,-8.183909,MOVE_JOINT
0.006000,0.496846,-0.206923,0.114829,-0.001926,0.000786,-0.002504,-8.146824,MOVE_JOINT
0.007000,0.496835,-0.206920,0.114816,-0.003229,0.002042,-0.004406,-8.117161,MOVE_JOINT
0.008000,0.496829,-0.206919,0.114806,-0.002868,0.001076,-0.004628,-8.147855,MOVE_JOINT
0.009000,0.496823,-0.206920,0.114796,-0.003298,0.000952,-0.006125,-8.172409,MOVE_JOINT
0.010000,0.496818,-0.206923,0.114788,-0.003313,0.000071,-0.006520,-8.163787,MOVE_JOINT
0.011000,0.496811,-0.206928,0.114781,-0.005000,-0.002034,-0.006975,-8.156900,MOVE_JOINT
0.012000,0.496804,-0.206935,0.114774,-0.006272,-0.004262,-0.007182,-8.151402,MOVE_JOINT
0.013000,0.496798,-0.206937,0.114769,-0.007209,-0.003968,-0.007312,-7.824481,MOVE_JOINT
0.014000,0.496793,-0.206939,0.114765,-0.007265,-0.002438,-0.007064,-7.562951,MOVE_JOINT
0.015000,0.496784,-0.206940,0.114761,-0.008511,-0.002057,-0.007172,-7.107243,MOVE_JOINT
0.016000,0.496772,-0.206939,0.114756,-0.010487,-0.000764,-0.007297,-6.742700,MOVE_JOINT
0.017000,0.496759,-0.206941,0.114751,-0.011840,-0.001355,-0.006849,-6.451087,MOVE_JOINT
0.018000,0.496752,-0.206937,0.114750,-0.011080,0.000223,-0.005390,-6.463410,MOVE_JOINT
0.019000,0.496741,-0.206935,0.114749,-0.011197,0.000531,-0.004211,-6.473269,MOVE_JOINT
0.020000,0.496729,-0.206931,0.114744,-0.011259,0.001775,-0.004143,-6.856278,MOVE_JOINT
0.021000,0.496718,-0.206928,0.114740,-0.010983,0.002435,-0.004232,-7.162673,MOVE_JOINT
0.022000,0.496714,-0.206921,0.114741,-0.008466,0.004344,-0.002537,-7.407781,MOVE_JOINT
0.023000,0.496702,-0.206918,0.114735,-0.009408,0.003776,-0.003399,-7.726977,MOVE_JOINT
0.024000,0.496700,-0.206910,0.114733,-0.006556,0.005160,-0.002457,-7.982328,MOVE_JOINT
0.025000,0.496699,-0.206907,0.114732,-0.004349,0.004501,-0.001610,-7.983113,MOVE_JOINT
0.026000,0.496702,-0.206900,0.114732,-0.001806,0.004761,-0.000581,-7.983743,MOVE_JOINT
0.027000,0.496697,-0.206901,0.114728,-0.002157,0.003279,-0.001201,-7.984240,MOVE_JOINT
0.028000,0.496708,-0.206897,0.114732,0.002633,0.003666,0.000852,-7.930608,MOVE_JOINT
0.029000,0.496715,-0.206892,0.114732,0.004090,0.003987,0.000753,-7.887700,MOVE_JOINT
0.030000,0.496726,-0.206887,0.114736,0.006147,0.004165,0.001812,-7.728311,MOVE_JOINT
