t,x,y,z,vx,vy,vz,Fz,phase
0.000000,0.501927,-0.192345,0.046800,-0.000048,0.000312,-0.000255,-2.157744,WAIT_USER_CONFIRM
0.001000,0.501926,-0.192346,0.046799,-0.000389,0.000276,-0.001038,-2.157744,WAIT_USER_CONFIRM
0.002000,0.501926,-0.192345,0.046800,0.000003,0.000221,-0.000182,-2.157754,WAIT_USER_CONFIRM
0.003000,0.501924,-0.192349,0.046801,-0.000420,-0.000396,-0.000185,-2.157800,WAIT_USER_CONFIRM
0.004000,0.501920,-0.192349,0.046798,-0.001734,-0.000172,-0.000919,-2.157893,WAIT_USER_CONFIRM
0.005000,0.501919,-0.192349,0.046796,-0.001335,-0.001335,-0.000734,-2.158018,WAIT_USER_CONFIRM
0.006000,0.501913,-0.192350,0.046791,-0.002385,-0.000424,-0.001850,-2.158166,WAIT_USER_CONFIRM
0.007000,0.501912,-0.192349,0.046790,-0.001306,-0.000058,-0.001255,-2.158365,WAIT_USER_CONFIRM
0.008000,0.501911,-0.192347,0.046788,-0.001159,0.001411,-0.001651,-2.158661,WAIT_USER_CONFIRM
0.009000,0.501903,-0.192353,0.046786,-0.003676,-0.000970,-0.002047,-2.159064,WAIT_USER_CONFIRM
0.010000,0.501902,-0.192351,0.046784,-0.003545,0.000503,-0.002722,-2.159550,WAIT_USER_CONFIRM
0.011000,0.501903,-0.192349,0.046783,-0.002384,0.001270,-0.002072,-2.160088,WAIT_USER_CONFIRM
0.012000,0.501898,-0.192352,0.046781,-0.003740,-0.000334,-0.002589,-2.160651,WAIT_USER_CONFIRM
0.013000,0.501895,-0.192349,0.046778,-0.003390,0.001145,-0.002705,-2.161200,WAIT_USER_CONFIRM
0.014000,0.501895,-0.192348,0.046777,-0.002552,0.000685,-0.002084,-2.161690,WAIT_USER_CONFIRM
0.015000,0.501888,-0.192350,0.046772,-0.004653,0.000171,-0.003534,-2.162074,WAIT_USER_CONFIRM
0.016000,0.501890,-0.192350,0.046774,-0.002886,0.000092,-0.002209,-2.162318,WAIT_USER_CONFIRM
0.017000,0.501887,-0.192349,0.046771,-0.003147,-0.000129,-0.002204,-2.162416,WAIT_USER_CONFIRM
0.018000,0.501884,-0.192351,0.046770,-0.002322,-0.000271,-0.001614,-2.162368,WAIT_USER_CONFIRM
0.019000,0.501879,-0.192352,0.046767,-0.002829,-0.000045,-0.001879,-2.162149,WAIT_USER_CONFIRM
0.020000,0.501877,-0.192352,0.046765,-0.003526,-0.000320,-0.002085,-2.161699,WAIT_USER_CONFIRM
0.021000,0.501872,-0.192352,0.046762,-0.004291,-0.000318,-0.002859,-2.160951,WAIT_USER_CONFIRM
0.022000,0.501872,-0.192352,0.046762,-0.002970,-0.000435,-0.001858,-2.159870,WAIT_USER_CONFIRM
0.023000,0.501869,-0.192352,0.046760,-0.003340,-0.000575,-0.002250,-2.158460,WAIT_USER_CONFIRM
0.024000,0.501868,-0.192351,0.046759,-0.002567,-0.000756,-0.001389,-2.156757,WAIT_USER_CONFIRM
0.025000,0.501867,-0.192351,0.046757,-0.001510,0.000254,-0.001466,-2.154806,WAIT_USER_CONFIRM
0.026000,0.501865,-0.192350,0.046756,-0.001600,0.000651,-0.001670,-2.152645,WAIT_USER_CONFIRM
0.027000,0.501865,-0.192351,0.046756,-0.001456,0.000197,-0.001210,-2.150300,WAIT_USER_CONFIRM
0.028000,0.501864,-0.192350,0.046754,-0.001882,0.000229,-0.001611,-2.147786,WAIT_USER_CONFIRM
0.029000,0.501866,-0.192349,0.046756,-0.000320,0.001013,-0.000344,-2.145107,MOVE_JOINT
0.030000,0.501860,-0.192350,0.046752,-0.002555,0.000160,-0.001907,-2.142249,MOVE_JOINT
0.031000,0.501864,-0.192347,0.046753,-0.000408,0.001134,-0.000686,-2.139197,MOVE_JOINT
0.032000,0.501862,-0.192349,0.046753,-0.000160,0.000135,-0.000177,-2.135953,MOVE_JOINT
0.033000,0.501861,-0.192349,0.046752,-0.000605,0.000018,-0.000509,-2.132525,MOVE_JOINT
0.034000,0.501862,-0.192346,0.046751,0.000069,0.001058,-0.000364,-2.128922,MOVE_JOINT
