t,x,y,z,vx,vy,vz,Fz,phase
0.000000,0.505986,-0.203809,-0.118067,0.000339,0.001128,-0.000135,-2.393362,WAIT_USER_CONFIRM
0.001000,0.505986,-0.203811,-0.118066,0.000227,0.000024,0.000037,-2.393344,WAIT_USER_CONFIRM
0.002000,0.505989,-0.203814,-0.118064,-0.000116,-0.000937,-0.000099,-2.393262,WAIT_USER_CONFIRM
0.003000,0.505987,-0.203809,-0.118066,-0.001005,0.000900,-0.000647,-2.393079,WAIT_USER_CONFIRM
0.004000,0.505986,-0.203816,-0.118066,-0.000441,-0.001666,0.000604,-2.392785,WAIT_USER_CONFIRM
0.005000,0.505982,-0.203813,-0.118069,-0.000609,-0.000726,0.000268,-2.392359,WAIT_USER_CONFIRM
0.006000,0.505978,-0.203812,-0.118072,-0.001277,-0.000477,-0.000715,-2.391733,WAIT_USER_CONFIRM
0.007000,0.505975,-0.203808,-0.118077,-0.001497,0.000935,-0.001569,-2.390841,WAIT_USER_CONFIRM
0.008000,0.505971,-0.203811,-0.118079,-0.002677,-0.000052,-0.002029,-2.389704,WAIT_USER_CONFIRM
0.009000,0.505973,-0.203810,-0.118079,-0.002120,0.000463,-0.001924,-2.388463,WAIT_USER_CONFIRM
0.010000,0.505967,-0.203812,-0.118081,-0.003675,0.000225,-0.002558,-2.387340,WAIT_USER_CONFIRM
0.011000,0.505964,-0.203808,-0.118085,-0.004331,0.001823,-0.003506,-2.386573,WAIT_USER_CONFIRM
0.012000,0.505962,-0.203809,-0.118084,-0.004393,0.000977,-0.002775,-2.386397,WAIT_USER_CONFIRM
0.013000,0.505963,-0.203805,-0.118084,-0.002663,0.001683,-0.001520,-2.387000,WAIT_USER_CONFIRM
0.014000,0.505963,-0.203805,-0.118082,-0.001727,0.001269,-0.000427,-2.388424,WAIT_USER_CONFIRM
0.015000,0.505956,-0.203805,-0.118084,-0.002877,0.000702,-0.000791,-2.390486,WAIT_USER_CONFIRM
0.016000,0.505958,-0.203805,-0.118084,-0.001279,0.000378,-0.000377,-2.392799,WAIT_USER_CONFIRM
0.017000,0.505950,-0.203803,-0.118088,-0.002216,0.000151,-0.000941,-2.394882,WAIT_USER_CONFIRM
0.018000,0.505944,-0.203799,-0.118092,-0.004038,0.001810,-0.002391,-2.396293,WAIT_USER_CONFIRM
0.019000,0.505944,-0.203798,-0.118094,-0.003221,0.001583,-0.002546,-2.396746,WAIT_USER_CONFIRM
0.020000,0.505945,-0.203798,-0.118094,-0.001947,0.001495,-0.001719,-2.396166,WAIT_USER_CONFIRM
0.021000,0.505937,-0.203796,-0.118100,-0.002925,0.001707,-0.002574,-2.394657,WAIT_USER_CONFIRM
0.022000,0.505937,-0.203798,-0.118099,-0.001835,0.000424,-0.001454,-2.392418,WAIT_USER_CONFIRM
0.023000,0.505934,-0.203795,-0.118103,-0.002490,0.001003,-0.001985,-2.389673,WAIT_USER_CONFIRM
0.024000,0.505935,-0.203794,-0.118104,-0.001460,0.000636,-0.001632,-2.386625,WAIT_USER_CONFIRM
0.025000,0.505930,-0.203791,-0.118106,-0.003212,0.001422,-0.001744,-2.383436,WAIT_USER_CONFIRM
0.026000,0.505928,-0.203792,-0.118106,-0.002929,0.001248,-0.001634,-2.380223,WAIT_USER_CONFIRM
0.027000,0.505931,-0.203790,-0.118106,-0.001461,0.001534,-0.001130,-2.377045,WAIT_USER_CONFIRM
0.028000,0.505929,-0.203792,-0.118106,-0.002043,0.000590,-0.001280,-2.373904,WAIT_USER_CONFIRM
0.029000,0.505927,-0.203790,-0.118108,-0.002514,0.001263,-0.001712,-2.370765,WAIT_USER_CONFIRM
0.030000,0.505926,-0.203794,-0.118107,-0.000830,-0.000696,-0.000335,-2.367588,WAIT_USER_CONFIRM
0.031000,0.505926,-0.203792,-0.118107,-0.000468,-0.000294,-0.000242,-2.364320,WAIT_USER_CONFIRM
0.032000,0.505925,-0.203792,-0.118109,-0.000431,-0.000615,-0.000610,-2.360880,WAIT_USER_CONFIRM
0.033000,0.505925,-0.203794,-0.118108,0.000017,-0.001119,-0.000219,-2.357169,WAIT_USER_CONFIRM
0.034000,0.505923,-0.203791,-0.118110,-0.000285,-0.000031,-0.000618,-2.353115,WAIT_USER_CONFIRM
0.035000,0.505920,-0.203791,-0.118111,-0.001394,-0.000196,-0.001133,-2.348695,WAIT_USER_CONFIRM
