t,x,y,z,vx,vy,vz,Fz,phase
0.000000,0.495855,-0.201335,0.121183,-0.000524,-0.000711,-0.000032,4.302958,MOVE_JOINT
0.001000,0.495856,-0.201333,0.121182,-0.000016,-0.000082,-0.000042,4.305510,MOVE_JOINT
0.002000,0.495853,-0.201333,0.121180,-0.001417,-0.000501,-0.001018,4.307554,MOVE_JOINT
0.003000,0.495853,-0.201337,0.121183,-0.001611,-0.000967,-0.000549,4.253640,MOVE_JOINT
0.004000,0.495849,-0.201334,0.121178,-0.001888,-0.000144,-0.000907,4.210509,MOVE_JOINT
0.005000,0.495846,-0.201331,0.121175,-0.002244,0.000402,-0.000976,4.176004,MOVE_JOINT
0.006000,0.495839,-0.201331,0.121168,-0.003817,-0.000409,-0.002467,4.117187,MOVE_JOINT
0.007000,0.495830,-0.201331,0.121161,-0.005287,-0.000898,-0.003428,4.070138,MOVE_JOINT
0.008000,0.495826,-0.201325,0.121154,-0.004107,0.000802,-0.003428,4.104769,MOVE_JOINT
0.009000,0.495825,-0.201324,0.121151,-0.003425,0.000517,-0.003004,4.132474,MOVE_JOINT
0.010000,0.495818,-0.201321,0.121142,-0.003602,0.001824,-0.003850,4.154642,MOVE_JOINT
0.011000,0.495816,-0.201322,0.121137,-0.003690,0.001079,-0.004448,4.033762,MOVE_JOINT
0.012000,0.495812,-0.201317,0.121131,-0.003605,0.001999,-0.004911,3.937064,MOVE_JOINT
0.013000,0.495810,-0.201316,0.121128,-0.003694,0.001794,-0.004730,3.722010,MOVE_JOINT
0.014000,0.495811,-0.201311,0.121128,-0.003444,0.002533,-0.003947,3.549967,MOVE_JOINT
0.015000,0.495807,-0.201307,0.121125,-0.004107,0.002466,-0.003729,3.412337,MOVE_JOINT
0.016000,0.495805,-0.201300,0.121123,-0.003678,0.003858,-0.003296,3.201233,MOVE_JOINT
0.017000,0.495802,-0.201293,0.121122,-0.003286,0.004629,-0.002820,3.032354,MOVE_JOINT
0.018000,0.495797,-0.201289,0.121121,-0.004013,0.003947,-0.002219,2.852508,MOVE_JOINT
0.019000,0.495801,-0.201280,0.121128,-0.002150,0.005849,-0.000097,2.708632,MOVE_JOINT
0.020000,0.495802,-0.201272,0.121131,-0.001509,0.006414,0.000714,2.593530,MOVE_JOINT
0.021000,0.495800,-0.201264,0.121135,-0.002069,0.006315,0.001767,2.767846,MOVE_JOINT
0.022000,0.495800,-0.201254,0.121140,-0.001879,0.007395,0.002671,2.907299,MOVE_JOINT
0.023000,0.495806,-0.201244,0.121150,-0.000369,0.008310,0.004458,3.055242,MOVE_JOINT
0.024000,0.495813,-0.201234,0.121159,0.001825,0.008661,0.005970,3.173600,MOVE_JOINT
0.025000,0.495817,-0.201220,0.121166,0.002502,0.010386,0.006028,3.268286,MOVE_JOINT
0.026000,0.495829,-0.201203,0.121175,0.006098,0.012352,0.007175,3.576274,MOVE_JOINT
0.027000,0.495838,-0.201190,0.121181,0.006963,0.012884,0.006908,3.822668,MOVE_JOINT
0.028000,0.495851,-0.201176,0.121191,0.009428,0.013504,0.008091,4.173976,MOVE_JOINT
0.029000,0.495860,-0.201163,0.121197,0.009933,0.013293,0.008161,4.455020,MOVE_JOINT
0.030000,0.495877,-0.201147,0.121208,0.012406,0.013717,0.009283,4.679849,MOVE_JOINT
0.031000,0.495894,-0.201132,0.121218,0.014186,0.013778,0.010122,4.978378,MOVE_JOINT
0.032000,0.495907,-0.201117,0.121227,0.014143,0.014268,0.009716,5.217202,MOVE_JOINT
0.033000,0.495921,-0.201105,0.121234,0.013999,0.013808,0.008873,5.452601,MOVE_JOINT
0.034000,0.495937,-0.201090,0.121243,0.014127,0.014120,0.008525,5.640906,MOVE_JOINT
0.035000,0.495957,-0.201073,0.121255,0.015444,0.014575,0.009575,5.791531,MOVE_JOINT
