t,x,y,z,vx,vy,vz,Fz,phase
0.000000,0.497839,-0.208538,0.193492,-0.000664,-0.000700,-0.000509,-300.535028,MOVE_JOINT
0.001000,0.497842,-0.208534,0.193493,0.000704,0.000858,0.000313,-300.574939,MOVE_JOINT
0.002000,0.497842,-0.208538,0.193494,-0.000340,-0.000792,-0.000400,-300.607046,MOVE_JOINT
0.003000,0.497839,-0.208536,0.193492,-0.001378,0.000156,-0.001341,-300.574773,MOVE_JOINT
0.004000,0.497830,-0.208539,0.193487,-0.003606,-0.001008,-0.002057,-300.548221,MOVE_JOINT
0.005000,0.497820,-0.208536,0.193474,-0.005241,0.000836,-0.005227,-300.549531,MOVE_JOINT
0.006000,0.497810,-0.208538,0.193463,-0.005414,0.000661,-0.006136,-300.547354,MOVE_JOINT
0.007000,0.497797,-0.208538,0.193448,-0.006486,0.000388,-0.007994,-300.540844,MOVE_JOINT
0.008000,0.497787,-0.208539,0.193436,-0.006189,0.000371,-0.008176,-300.502242,MOVE_JOINT
0.009000,0.497780,-0.208541,0.193424,-0.006536,-0.000547,-0.009142,-300.467643,MOVE_JOINT
0.010000,0.497769,-0.208549,0.193414,-0.007174,-0.002850,-0.009289,-300.435416,MOVE_JOINT
0.011000,0.497758,-0.208555,0.193400,-0.008060,-0.004365,-0.009897,-300.273605,MOVE_JOINT
0.012000,0.497754,-0.208563,0.193393,-0.006785,-0.005747,-0.008982,-300.141525,MOVE_JOINT
0.013000,0.497745,-0.208570,0.193382,-0.008251,-0.006596,-0.009908,-300.031865,MOVE_JOINT
0.014000,0.497733,-0.208580,0.193374,-0.010265,-0.007405,-0.010336,-299.742107,MOVE_JOINT
0.015000,0.497727,-0.208587,0.193369,-0.010748,-0.007801,-0.009715,-299.770904,MOVE_JOINT
0.016000,0.497716,-0.208591,0.193364,-0.011638,-0.006721,-0.009370,-299.790666,MOVE_JOINT
0.017000,0.497702,-0.208595,0.193357,-0.013220,-0.005792,-0.009110,-299.802635,MOVE_JOINT
0.018000,0.497688,-0.208598,0.193352,-0.014385,-0.004977,-0.008417,-299.809382,MOVE_JOINT
0.019000,0.497673,-0.208602,0.193348,-0.015530,-0.004760,-0.008206,-300.176037,MOVE_JOINT
0.020000,0.497655,-0.208605,0.193343,-0.016559,-0.004468,-0.007541,-300.713294,MOVE_JOINT
0.021000,0.497641,-0.208603,0.193338,-0.015436,-0.002423,-0.006569,-301.139308,MOVE_JOINT
0.022000,0.497626,-0.208607,0.193336,-0.015218,-0.002473,-0.005556,-301.477232,MOVE_JOINT
0.023000,0.497609,-0.208604,0.193327,-0.015643,-0.000383,-0.006780,-301.561512,MOVE_JOINT
0.024000,0.497595,-0.208603,0.193322,-0.014860,-0.000123,-0.005682,-301.626058,MOVE_JOINT
0.025000,0.497580,-0.208601,0.193316,-0.014000,0.000519,-0.004953,-301.267961,MOVE_JOINT
0.026000,0.497562,-0.208600,0.193310,-0.014274,0.000943,-0.004935,-300.977715,MOVE_JOINT
0.027000,0.497549,-0.208602,0.193307,-0.012764,-0.000090,-0.003587,-300.742817,MOVE_JOINT
