t,x,y,z,vx,vy,vz,Fz,phase
0.000000,0.419611,-0.200870,-0.141036,0.000108,-0.000117,0.000010,4.137049,WAIT_USER_CONFIRM
0.001000,0.419606,-0.200867,-0.141038,-0.001485,0.000523,-0.000664,4.137034,WAIT_USER_CONFIRM
0.002000,0.419611,-0.200867,-0.141037,0.000620,-0.000066,0.000100,4.136953,WAIT_USER_CONFIRM
0.003000,0.419614,-0.200867,-0.141034,0.001415,-0.000254,0.000963,4.136744,WAIT_USER_CONFIRM
0.004000,0.419610,-0.200867,-0.141037,-0.000377,0.000027,-0.000135,4.136388,WAIT_USER_CONFIRM
0.005000,0.419609,-0.200868,-0.141037,-0.000647,-0.000261,-0.000217,4.135932,WAIT_USER_CONFIRM
0.006000,0.419612,-0.200867,-0.141037,0.000735,0.000452,0.000010,4.135438,WAIT_USER_CONFIRM
0.007000,0.419619,-0.200867,-0.141035,0.002610,0.000177,0.000532,4.134937,WAIT_USER_CONFIRM
0.008000,0.419625,-0.200866,-0.141033,0.002699,0.000172,0.000795,4.134431,WAIT_USER_CONFIRM
0.009000,0.419636,-0.200869,-0.141026,0.004234,-0.000171,0.001817,4.133933,WAIT_USER_CONFIRM
0.010000,0.419648,-0.200866,-0.141021,0.006417,0.001243,0.002697,4.133522,WAIT_USER_CONFIRM
0.011000,0.419661,-0.200871,-0.141014,0.008099,-0.000937,0.004029,4.133400,WAIT_USER_CONFIRM
0.012000,0.419677,-0.200871,-0.141005,0.010133,-0.000438,0.005228,4.133906,WAIT_USER_CONFIRM
0.013000,0.419697,-0.200873,-0.140993,0.012565,-0.001050,0.007021,4.135506,WAIT_USER_CONFIRM
0.014000,0.419721,-0.200870,-0.140982,0.015566,0.000076,0.007956,4.138777,WAIT_USER_CONFIRM
0.015000,0.419744,-0.200874,-0.140969,0.017955,-0.000909,0.009627,4.144373,WAIT_USER_CONFIRM
0.016000,0.419767,-0.200876,-0.140957,0.019454,-0.001220,0.010377,4.152943,WAIT_USER_CONFIRM
0.017000,0.419795,-0.200875,-0.140943,0.022045,-0.000839,0.011579,4.165061,WAIT_USER_CONFIRM
0.018000,0.419825,-0.200881,-0.140927,0.025027,-0.002464,0.013040,4.181149,WAIT_USER_CONFIRM
0.019000,0.419854,-0.200881,-0.140912,0.026483,-0.002301,0.013990,4.201440,WAIT_USER_CONFIRM
0.020000,0.419882,-0.200883,-0.140900,0.027340,-0.002789,0.013816,4.225939,WAIT_USER_CONFIRM
0.021000,0.419918,-0.200882,-0.140882,0.030344,-0.002000,0.015300,4.254396,WAIT_USER_CONFIRM
0.022000,0.419952,-0.200887,-0.140865,0.031946,-0.002780,0.015827,4.286300,WAIT_USER_CONFIRM
0.023000,0.419986,-0.200890,-0.140850,0.032403,-0.003012,0.015754,4.320922,WAIT_USER_CONFIRM
0.024000,0.420026,-0.200891,-0.140831,0.035928,-0.002580,0.017426,4.357361,WAIT_USER_CONFIRM
0.025000,0.420061,-0.200895,-0.140814,0.035900,-0.003126,0.017501,4.394600,WAIT_USER_CONFIRM
0.026000,0.420100,-0.200896,-0.140796,0.037084,-0.002784,0.017988,4.431586,WAIT_USER_CONFIRM
0.027000,0.420143,-0.200901,-0.140776,0.038684,-0.003641,0.018654,4.467284,WAIT_USER_CONFIRM
0.028000,0.420180,-0.200899,-0.140759,0.038493,-0.001713,0.017982,4.500706,WAIT_USER_CONFIRM
0.029000,0.420221,-0.200905,-0.140739,0.039806,-0.002915,0.018854,4.530907,WAIT_USER_CONFIRM
0.030000,0.420266,-0.200909,-0.140717,0.040732,-0.003447,0.019383,4.556990,WAIT_USER_CONFIRM
0.031000,0.420305,-0.200910,-0.140700,0.039756,-0.002484,0.018688,4.578145,WAIT_USER_CONFIRM
0.032000,0.420346,-0.200915,-0.140680,0.040412,-0.003205,0.019260,4.593677,WAIT_USER_CONFIRM
0.033000,0.420392,-0.200918,-0.140658,0.041154,-0.003092,0.019693,4.603019,WAIT_USER_CONFIRM
0.034000,0.420430,-0.200920,-0.140640,0.040463,-0.002779,0.019134,4.605759,WAIT_USER_CONFIRM
0.035000,0.420476,-0.200926,-0.140618,0.041521,-0.003335,0.019704,4.601642,WAIT_USER_CONFIRM
0.036000,0.420524,-0.200930,-0.140594,0.043494,-0.003405,0.020827,4.590547,WAIT_USER_CONFIRM
0.037000,0.420561,-0.200934,-0.140576,0.041183,-0.003671,0.019707,4.572493,WAIT_USER_CONFIRM
0.038000,0.420614,-0.200937,-0.140551,0.043698,-0.003523,0.020907,4.547642,WAIT_USER_CONFIRM
0.039000,0.420660,-0.200940,-0.140528,0.043881,-0.002985,0.021304,4.516268,WAIT_USER_CONFIRM
0.040000,0.420707,-0.200946,-0.140504,0.045322,-0.003538,0.022251,4.478779,WAIT_USER_CONFIRM
0.041000,0.420766,-0.200953,-0.140473,0.049577,-0.004706,0.024852,4.435761,WAIT_USER_CONFIRM
0.042000,0.420811,-0.200959,-0.140450,0.048218,-0.004369,0.024331,4.388031,WAIT_USER_CONFIRM
0.043000,0.420867,-0.200965,-0.140421,0.050649,-0.005174,0.025835,4.336613,WAIT_USER_CONFIRM
0.044000,0.420922,-0.200970,-0.140392,0.052103,-0.005676,0.027246,4.282661,WAIT_USER_CONFIRM
0.045000,0.420972,-0.200975,-0.140365,0.052330,-0.005325,0.027494,4.227403,WAIT_USER_CONFIRM
0.046000,0.421023,-0.200981,-0.140338,0.051517,-0.005344,0.027157,4.172092,WAIT_USER_CONFIRM
0.047000,0.421079,-0.200990,-0.140306,0.053536,-0.006460,0.028843,4.117906,WAIT_USER_CONFIRM
0.048000,0.421134,-0.200995,-0.140277,0.053885,-0.005809,0.028986,4.065874,WAIT_USER_CONFIRM
0.049000,0.421189,-0.201004,-0.140244,0.055095,-0.006989,0.030679,4.016879,WAIT_USER_CONFIRM
0.050000,0.421245,-0.201010,-0.140213,0.055972,-0.006945,0.031068,3.971719,WAIT_USER_CONFIRM
0.051000,0.421303,-0.201015,-0.140181,0.056412,-0.006492,0.031251,3.931130,WAIT_USER_CONFIRM
0.052000,0.421362,-0.201024,-0.140145,0.057594,-0.007176,0.032680,3.895760,WAIT_USER_CONFIRM
0.053000,0.421421,-0.201029,-0.140112,0.058686,-0.006522,0.033017,3.866146,WAIT_USER_CONFIRM
0.054000,0.421477,-0.201037,-0.140078,0.057871,-0.007281,0.033219,3.842719,WAIT_USER_CONFIRM
0.055000,0.421537,-0.201041,-0.140044,0.058643,-0.006357,0.033743,3.825782,WAIT_USER_CONFIRM
0.056000,0.421594,-0.201050,-0.140009,0.058208,-0.007124,0.034201,3.815495,WAIT_USER_CONFIRM
0.057000,0.421653,-0.201055,-0.139975,0.058059,-0.006578,0.033772,3.811866,WAIT_USER_CONFIRM
0.058000,0.421709,-0.201062,-0.139942,0.057463,-0.006560,0.033665,3.814736,WAIT_USER_CONFIRM
0.059000,0.421767,-0.201072,-0.139907,0.057400,-0.007848,0.034034,3.823725,WAIT_USER_CONFIRM
0.060000,0.421830,-0.201079,-0.139870,0.059462,-0.008004,0.034837,3.838241,WAIT_USER_CONFIRM
0.061000,0.421888,-0.201086,-0.139836,0.058426,-0.007438,0.034422,3.857533,WAIT_USER_CONFIRM
0.062000,0.421952,-0.201093,-0.139798,0.059864,-0.007329,0.034946,3.880758,WAIT_USER_CONFIRM
0.063000,0.422010,-0.201101,-0.139764,0.059596,-0.007624,0.034852,3.907006,WAIT_USER_CONFIRM
0.064000,0.422073,-0.201110,-0.139727,0.060311,-0.008258,0.035349,3.935323,WAIT_USER_CONFIRM
0.065000,0.422135,-0.201117,-0.139691,0.060320,-0.008159,0.035398,3.964740,WAIT_USER_CONFIRM
